Username,Follower,About,Location,PageURL,Sexual,EnneagramType,Gender,Groups
Longhairdontcare,"['GusWriter', 'Scoobyscoob']","No, YOU cut your hair.",Upper midwest somewhere, https://www.personalitycafe.com/members/longhairdontcare.html,,,,[]
,['Riy'],,London, https://www.personalitycafe.com/members/martin-the-ninja.html,Female,Type 7,,[]
marked174,"['eclipsethesun', 'FromTheWorldUp', 'Goodewitch', 'Guiltyuntilproven', 'hungryfooligan', 'Katjie', 'L', 'la musa candido', 'lizziebaby420', 'Locrian85', 'scorpio_queen', 'selchiechildofcassandra', 'stevie_marathon', 'Viktoria', 'marckos', 'marzipan01', 'MOGwok', 'NightSkyGirl', 'nikkii', 'Promethea', 'purplevelvetmask', 'Radzell', 'Rouge', 'sanari', 'Cerulean', 'AbioticPrime', 'Aerorobyn', 'AgentSH', 'agokcen', 'ApostateAbe', 'BimboBarbie', 'Blood Rose', 'Christie42476', 'DreamStepper']",,, https://www.personalitycafe.com/members/marked174.html,Female,,Male,"['esfj-s-entp-s-unite', 'nt-brotherhood', 'boring-entp-other-boring-people-group']"
markmiller,['Shwanald'],,,,,,,[]
lovecraftianbeatles,"['Danse Macabre', 'Drewbie', 'PeacePassion', 'Schadenfreude', 'SuperunknownVortex']",JUSTICE IS A COMMODITY I DON'T WASTE MY TIME WITH,Ann Arbor area, https://www.personalitycafe.com/members/lovecraftianbeatles.html,Pansexual,,Male,"['smashing-pumpkins', 'land-beautiful-films', 'lgbt', 'surrealism', 'reading-group', 'philosophy', 'trekkies-unite']"
loveislove89,['Blackbeard'],,, https://www.personalitycafe.com/members/loveislove89.html,,,Female,[]
lifeisanillusion,"['A2ZImaBee', 'adagio', 'cosmia', 'Crimson Ash', 'DDrokenss', 'DiorLips', 'jada_artist', 'johnnyyukon', 'Katya00', 'Lacrimosa', 'MeltedSorbet', 'mimisea', 'morituri', 'MrAdder', 'Oh_no_she_DIDNT', 'OpRise', 'paintfish', 'rambleonrose', 'refugee', 'Ronin_dreamer', 'Shade', 'Theodore', 'Tuscan Dreamscape', 'unINFalliPle', 'Up and Away', 'VioletTru']","The journey seems to get more interesting all the time. The way I see things now is changing and in ten years from now I will probably look back and say ""I can't believe that is how I saw things."" Acceptance is becoming a bigger part of my life and I am more likely today to acknowledge more of the so called negative or shadow side of things. Everything is alright when I live in the moment. I also like to laugh at things. I tend to take things to seriously at times so sometimes I like to watch funny movies or do silly things for fun. I like when the inner child comes out and plays. I would also like to see the destroyer come out a little more often as well.",,,Female,Type 4,Male,[]
,['.francesca'],I have too many obsessions. It's unhealthy.,, https://www.personalitycafe.com/members/lifelessjules.html,Asexual,,Female,[]
,,"Names Megan.
I am a philosopher, a dreamer, an artist, and a theorist. But most of all I am just me. 21. Central Florida. Photographer. Graphic Designer. Gemini. Student. Fellow Modest Mouse lover.",Daytona Beach, https://www.personalitycafe.com/members/lifelikeweeds.html,Male,,Female,"['metal', 'artists', 'perc-night-owls-unite', 'art-club', 'smashing-pumpkins', 'land-beautiful-films', 'anarchists-libertarians', 'photography-enthusiasts', 'find-friend', 'non-theists-personalitycafe', 'graphic-design', 'lgbt', 'rpg-zone', 'spirituality', 'philosophy', 'enfp', 'pink-floyd', 'musicians']"
,"['2Thumbs', 'Eddy Kat', 'emo_hippy', 'lilysocks', 'TheLizzyB40', 'Totalbrit']","Tired. I like StarKid and other fandoms, and want to hug you because you're probably a human person. Unless you don't like hugs.
I'm aware of sounding what I think is sickly sweet when I'm online. Also, if you're trying to help me with something, I might say you're completely wrong, to find out more. Sorry about that.
Pretty sure instinctual subtype sx/sp, and I act differently IRL. What am I saying even? I don't know what any of this means. Sorry.",, https://www.personalitycafe.com/members/luanne.html,,,Female,[]
Lucan1010,"['Amyra', 'Electra', 'Eugenia Shepherd', 'Froody Blue Gem', 'Hiraeth', 'Marvin the Dendroid', 'Snowflake Minuet', 'temptingthesea', 'vinniebob']",,,,,Type 9w1,Male,['friendly-personality-cave']
,,"Spent 12 years of my life traveling across America in a band. I tour the world, play music, make websites and engineer things on the side. I'm constantly obsessed with something new though, so this would change frequently if accurate",All over America, https://www.personalitycafe.com/members/lucas.html,Female,Type 7,,[]
,['Knight_In_Rags'],,,,Female,Type 4,Male,[]
Mataimtim,"['Apdenoatis', 'Bella2016', 'INTJellectual']",,Philippines, https://www.personalitycafe.com/members/mataimtim.html,,Unknown,Female,['h-u-m-n']
,"['psychomonkie', 'starcaller', 'Thread Killer', 'Trigun64', 'TwoStepsFrom221B', 'chip', 'Chocolatentropy', 'dragonfruit', 'HeartCartography', 'Icewater', 'IcyShiv', 'Lane77', 'Melfina', 'MeltedSorbet', 'OldNewBorrowedTardis']",,, https://www.personalitycafe.com/members/matchablizzard.html,Female,,Male,[]
Matchbook,"['Acey', 'davisk', 'ForsakenMe', 'nevermore', 'Rez']",I am one who seeks ultimate truth in all things.  I am a Christian.  I thirst for transcendence.,"Washington State, USA, Earth, Milky Way.  Hello to all you fellow Milky Wayans!",,Female,Type 4,,[]
matedude,"['G0lde', 'Jna0rao', 'pinaattitonttu']",,Sweden,,Female,,Male,[]
,"['Deathmint', 'grandpa2390', 'MelodyGirl']",,,,,Type 5w4,Male,[]
Llyralen,"['0rgans', 'ai.tran.75', 'AlicetheFoodie', 'angelcat', 'angelfish', 'Anti-Fascist Knight', 'Arpeggios_', 'artofbalance', 'Asmodaeus', 'bachsgirl', 'ENFPurpleKitti', 'entheos', 'Eugenia Shepherd', 'Falling Foxes', 'flutterbee', 'fresh', 'Fru2', 'Ghostcolors', 'Goetterdaemmerung', 'Guajiro', 'Conscience Killer', 'CountZero', 'Crowbo', 'Daiz', 'datagirl', 'Dennitsa', 'Dissenter', 'drizzy lake', 'elvis2010', 'Elvish Lives', 'Belledonna', 'Blue Ribbon', 'BranchMonkey', 'burningsoul', 'Catwalk', 'chad86tsi', 'changos', 'chickydoda', 'clem', 'Codas', 'madhouse_xoxo', 'Marvin the Dendroid', 'mehua', 'MeltedSorbet', 'mistakenforstranger', 'Moby85', 'nicoloco90', 'Northern Lights', 'Ode to Trees', 'Paper Shade', 'KacangSukro', 'Kizuna', 'knife', 'Lakigigar', 'lavendersnow', 'Librarian', 'Little Egg', 'Loonkin', 'Lord Pixel', 'm0ncheri', 'g_w', 'HappyHeart', 'HumanBeing', 'ilovegoodcheese', 'INForJoking', 'Instinktual', 'IssaVibe', 'JaguarPap', 'Jawz', 'Judson Joist', 'UberY0shi', 'Universal', 'Vivid Melody', 'Westy365', 'Windblownhair', 'wums', 'XIII', 'Yami no Yume', 'Yoda', 'Paulie', 'PisceanMoonFox', 'Qazcv', 'raschel', 'Red Panda', 'Respect', 'Retrospective', 'RexMaximus', 'RingzJr', 'saph', 'secondpassing', 'Sei35', 'sereneone', 'ShadowedWords', 'SirCanSir', 'Snowflake Minuet', 'Songs unsung', 'Sour Roses', 'Stable Genius', 'strawberryLola', 'SweetPotatoPie', 'Sygma', 'SysterMatic', 'TallGreen', 'TEDD N T JAY 37', 'Teganite', 'temptingthesea', 'ThatOneHipsterDude', 'Thrine', 'Tridentus']",,, https://www.personalitycafe.com/members/llyralen.html,,,Female,[]
MBTI Enthusiast,"['Figure', 'Flatlander', 'frenchie', 'Frenetic Tranquility', 'GROUNDED_ONE', 'hackm', 'hello317', 'Hutch', 'inmymind', 'INTJellectual', '374714', '626Stitch', 'Achi', 'Adesi', 'Ama', 'aus2020', 'beepsmcgee', 'bigtex1989', 'bob_toeback', 'BooksandButterflies', 'Nickel', 'niss', 'nosilla', 'Organized Chaos', 'Out0fAmmo', 'PeaceOfMind', 'Perpetual Iridescence', 'petals of stone', 'pizzapie', 'Plaxico', 'BroNerd', 'Calisai', 'CallMeZ', 'confused girl28', 'CorgiGirl', 'DeadMilkman', 'Deamo', 'donkeybals', 'Ember', 'emerald sea', 'LotusBlossom', 'madhatter', 'Marie Claire', 'Memphisto', 'Mercer', 'MonieJ', 'Mumla', 'Napoleptic', 'NARCO', 'Niccolo Machiavelli', 'Simplify', 'SnowFairy', 'Sonny', 'Spades', 'Spiny', 'sriracha', 'Steel Magnolia', 'Stephen', 'Swede', 'tanstaafl28', 'Invidia', 'jamaix', 'JaySH', 'JoetheDreamer', 'Karen2011', 'key_lover0923', 'kuropuu', 'Lady Lullaby', 'LibertyPrime', 'Lola Lolek', 'Tater Tot', 'Thalassa', 'The Penguin', 'Tucken', 'uberrogo', 'Wake', 'WisePhoneX', 'zyxwvut', 'princessJAY', 'Qadosh', 'QueenofEagles', 'Ramysa', 'RCKT82', 'renna', 'Rhee', 'Rube', 'Ryan', 'silk15']",,GMT-8:00,,Male,Type 9w1,,[]
mazepla,"['DarkBarlow', 'HAL']",,on the ground, https://www.personalitycafe.com/members/mazepla.html,Asexual,Type 1w9,,[]
lonelymartian,['SharksFan99'],,,,Bisexual,,Male,[]
,['Schizoid'],,telangana, https://www.personalitycafe.com/members/lonelywolf23.html,Female,Type 2,Male,"['christians', 'infj']"
LonerINFP,"['cricket', 'leictreon', 'Shade', 'tanstaafl28']",,,,,,,[]
Lonesome Journey,,"Just a very laid-back person, Love to dwell on my thoughts and listen to music. For some Odd reason I love to be alone, I feel I can't upset anyone or let anyone down when I'm by myself. I'm on my lifes journey alone",, https://www.personalitycafe.com/members/lonesome-journey.html,Female,,Male,[]
Mayran,"['athenian200', 'ChaosEpsilon']",,, https://www.personalitycafe.com/members/mayran.html,Asexual,Type 5w6,,"['artists', 'i-don-t-fit-my-mbti-type-stereotype', 'i-think-therefore-i-am']"
,['Amyra'],,,,Female,,Male,[]
,,,, https://www.personalitycafe.com/members/mattyk.html,,,Male,[]
,,"INFP teenager. Sounds like a disaster, doesn't it? (I'm not sure if it is) 
My 'sexual preference' is a best guess; not sure if hetero or bi.",The Land of Grey Rain: England,,Both,,Male,['atheists-personalitycafe']
MaximL,,,, https://www.personalitycafe.com/members/maximl.html,,,,[]
Maximum.ENTP,,,, https://www.personalitycafe.com/members/maximum-entp.html,,,Male,[]
Maximus Deus,"['Con fused', 'doineed1', 'Roland Khan']",,, https://www.personalitycafe.com/members/maximus-deus.html,Female,Unknown,Male,[]
Maxxie,"['fawnliest', 'Narcissus', 'vangogh']",,,,,Unknown,Male,[]
May Fair,['Fyrespiral'],,, https://www.personalitycafe.com/members/may-fair.html,Male,,,[]
may23991,"['Daevor', 'Mr. Meepers', 'Owuguffu', 'Stable Genius']",,"Sharjah,United Arab Emirates",,Male,Type 1,,[]
Maya krish,"['Bunny', 'Larch', 'Thread Killer', 'timeless']",,, https://www.personalitycafe.com/members/maya-krish.html,,,,[]
,['Stable Genius'],,, https://www.personalitycafe.com/members/lucidsea.html,Male,,,[]
,,,,,,,Male,[]
Markolise,"['Apples', 'INFP...Archaeologist', 'katierose']","INFP guy, 6w5 enneagram.... seems to be the worst mix of types right now.",Places,,Female,,Male,"['infp-plant-nerds-unite', 'art-club', 'hufflepuff', 'infp-haven']"
,,,,,,Unknown,,[]
,"['Kalifornia310', 'unbeingdead']",,The mit, https://www.personalitycafe.com/members/matt.html,Female,,,[]
Matt The Martian,"['Groovy', 'niki']",,Colorado, https://www.personalitycafe.com/members/matt-the-martian.html,,Unknown,Male,[]
McFluff,,"https://www.youtube.com/watch?v=5fXAI5iTcbg 
^ the jam",The greatest country, https://www.personalitycafe.com/members/mcfluff.html,,Type 4w3,,[]
mcgooglian,,,, https://www.personalitycafe.com/members/mcgooglian.html,,Type 9,Male,[]
MCINDUS,['Laughmore'],,,,,,Male,[]
ltcomdata,"['EbonyTigger', 'morituro', 'sarek']",,,,Female,,,[]
mattejiogu,,,, https://www.personalitycafe.com/members/mattejiogu.html,,,,[]
Mausi,"['GROUNDED_ONE', 'Locrian85', 'NaughyChimp', 'saibot', 'splint3r', 'Tulipgarden', 'Younique']","I'm a long-time lurker of PersonalityCafe (about three years) and I finally decided to join and contribute in May of 2012.  
It's funny... I had no idea about Myers-Briggs until my best friend sent a link and suggested that I take it. I googled my results (ENFP) and from that point on, I became intrigued -- especially since the results were SPOT ON! It's definitely something I enjoy learning about in my spare time, mostly because it helps me to understand the world around me more. I'm very people-oriented and I like understanding different perspectives.  
Outside of Myers-Briggs, I would say that I am an enthusiastic, goofy person who loves to travel, read non-fiction, watch television, drink green tea, journal, and talk, talk, talk.",,,,,Female,[]
maust,,,,,,Type 8w9,Female,[]
mav04,,,Louisiana New Orleans is the closest city,,Male,Type 5w4,,[]
Maverick45,"['DreamerGirl', 'Galaris', 'Stolen', 'The Psychonaut']",,, https://www.personalitycafe.com/members/maverick45.html,,Type 5,,"['metal', 'nt-brotherhood', 'psychedelic-monks', 'intps-ftw', 'musicians']"
,['Lucky Luciano'],,, https://www.personalitycafe.com/members/megakill.html,,Type 3w2,Male,[]
Megan Averett,['Alex Byrne'],,Alaska, https://www.personalitycafe.com/members/megan-averett.html,Male,,Female,[]
Masoveilla,['Spazzcat'],,"Etobicoke, Ontario, Canada",,Asexual,Type 5,,[]
,['Aidan'],,,,,,Male,[]
lothweneriniel,"['Aurum', 'boredToDeath', 'Chelsaroo', 'Danielsearch', 'goodgracesbadinfluence', 'Invidia', 'marzipan01', 'Modifier', 'morituri', 'StarStrucked', 'this is my username', 'TJSeabury', 'YourVeryFlesh', 'zobey']",,, https://www.personalitycafe.com/members/lothweneriniel.html,,Type 9,Female,[]
lotty,['donkeybals'],"i like homestuck, dangan ronpa, minecraft, neon genesis evangelion, madoka magica, sailor moon, doctor who, supernatural, the outsiders, idk i have a lot of fandoms so uh theres that. i also really like robert downey jr. when it comes to music im a fan of florence+the machine, marina and the diamonds, lana del rey, blondfire, metric, gorillaz, and other stuff too but thats all i can think of. i type in a really lazy manner and i usually disregard syntax but please do not doubt my intelligence because of this. apart from my animes and celebrities and stuff i am very passionate about feminism, lgbtq rights, social justice in general but dont worry im not totally ridiculous and pushy about it. i also have an estp boyfriend idk if its weird for infp-estp friendships/relationships to work but weve been best friends for a while and were not a bad couple so uhh?",, https://www.personalitycafe.com/members/lotty.html,Pansexual,,,[]
Lotus8,['StableSun35'],,, https://www.personalitycafe.com/members/lotus8.html,,Type 4w5,Female,[]
,"['Fuzbal', 'Pockyist', 'Ruben Papadopoulos']",,,,Male,Unknown,Female,[]
Matthew Lee Geleneau,['Abbysaurus'],I find that my interests cover this fairly well :),, https://www.personalitycafe.com/members/matthew-lee-geleneau.html,Female,Type 7,,[]
meiming8,"['Ad Astra', 'Dewymorning', 'FiddleStycks', 'Frenetic Tranquility', 'petite libellule', 'proudtobeme']","Joined this forum when, after taking the Myers-Briggs test multiple times, I finally tested as an INFJ. This realisation was incredible for me, as I had recently gone through a huge upheaval in my life and was 'discovering myself.' By accepting the label of an INFJ, I am on my way to accepting who I am (even if it is extremely painful and complex at times!) This forum and those who upkeep it are hugely beneficial in this process, and for that I am grateful to everyone here. 
My life is currently in limbo. I am waiting to graduate; once I do, I will see if I will go into the corporate world or do something completely unexpected and wild. In the meantime, my mind is overheating. My brain is a pressure cooker full of vague feelings and ideas; once I have the time they will all be released! 
In the past I was a people-pleaser and a materialistic social butterfly. Now I realise that none of these labels suit me, so I am now a gentle soul that appreciates quiet and peace. My heart is full to the brim with empathy and care for others; love beams from my heart to those I have connected with. I wish I could curl up next to them and spend the rest of my life just being near them and enjoying their presence, like a little cat basking contentedly in the sunlight. My spirit is kind but my voice is LOUD about the issues I care about!  I aim to find beauty and meaning in all that I do. I hate writing about myself because i feel self-conscious. Every time I feel inspired to write, once I'm finished I immediately want to delete everything. I'm going to control that urge...now.",, https://www.personalitycafe.com/members/meiming8.html,,Unknown,Female,[]
Meirsho,,,,,Female,Type 3w4,,[]
mastermind23,,,,,,,Female,[]
,,,In the house XD, https://www.personalitycafe.com/members/mastervule.html,Female,,Male,['balkans']
Mbaruh,"['Aya the Abysswalker', 'clarity77', 'Posh Eagle', 'rrr']",,Ashdod,,Female,Unknown,,"['otaku', 'middle-east', 'intj-s-group']"
mbean1,"['Edward200', 'Mandy Meister']",,california, https://www.personalitycafe.com/members/mbean1.html,Male,Type 3w2,Female,[]
lovelyartmess,,"Just an artist I suppose, I love reading about psychology and plan to become a counselor after I receive my bachelors degree. :) 
~Favorites~ 
Shows: Stranger Things, Sherlock, Agents of Shield, Invader Zim, and Steven Universe 
Movies: Doctor Strange, Antman, Pride and Prejudice, Sense and Sensibility,  Princess Bride, Cyrano De Bergerac, and Rogue One 
Bands: OK GO, 21 Pilots, and Panic! at the Disco 
Video Games: Overwatch, Undertale, OFF, and Smash Brothers 
So, yeah.",,,Male,Type 1w2,Female,[]
LovelyHotaru,['Christian Exodia'],"If there's any chance you're wondering, ""Hotaru"" means firefly in Japanese and my real name is Paige :)",, https://www.personalitycafe.com/members/lovelyhotaru.html,Male,Type 4w5,Female,[]
,"['darcstar3', 'jusplathemus']",,, https://www.personalitycafe.com/members/mechanox.html,,,Male,[]
Mechsoap,"['Knowitall42', 'marshmallow']",,, https://www.personalitycafe.com/members/mechsoap.html,Female,,Male,[]
Mercedene,"['KacangSukro', 'narawithherthought']",Book cuddlers,Thirteen Thousand Island,,,,,[]
MCRTS,"['Nickel', 'NineTypesOfLight', 'Owfin', 'Persephone', 'snail', 'tattoolady', 'teddy564339', 'Thalassa', 'The Martyr Expert', 'AquaColum', 'AussieChick', 'Dreamer777', 'hello317', 'KateMarie999', 'kittychris07', 'LeelaWho', 'LotusBlossom', 'Mendi the ISFJ', 'MrDrEvilPorkchop']",,, https://www.personalitycafe.com/members/mcrts.html,,Unknown,Female,[]
Maura,,,Poland, https://www.personalitycafe.com/members/maura.html,,,,[]
,,,, https://www.personalitycafe.com/members/maureen.html,Male,Type 9,Female,[]
melarlee,"['bigtex1989', 'CristianLuca', 'Rube']",alkdjfldsakfjdsfkl;jf,, https://www.personalitycafe.com/members/melarlee.html,,,,[]
Melanthe,"['ekphysics', 'emerald sea']",,,,,Type 2,,[]
MelBel,,,"KS, USA", https://www.personalitycafe.com/members/melbel.html,Male,Type 4w5,Female,['hug-cuddle-snuggle-group']
Melchiz,"['Zenobia Kael', 'Adena', 'Amy', 'Apples', 'Bakushi', 'Bella2016', 'cerenach', 'CeziuM_', 'chanteuse', 'Chronicles', 'Dagger', 'daniluni', 'Death Persuades', 'Dreaming of Dragons', 'Endless Rainbows', 'EtherealComet', 'Ghostsoul', 'GTG', 'HAL 9000', 'Hanne', 'hannibal', 'Theobruh', 'thewoodlandfairy', 'thompidoo', 'UniqueFinallyAmongPeers', 'Vanzell', 'Vaux', 'WamphyriThrall', 'Winegums', 'Wings of Nike', ""Wolf's Tale"", 'Lizabeth', 'nburns', 'Nephilibata', 'Pantali', 'PartyGirl', 'QuiteCharmed', 'rambleonrose', 'StarFollowed', 'the401', 'Then', 'HazelEyes147', 'hopebeat', 'imonlyhereforthefood', 'irulee', 'jeb', 'karmachameleon', 'knife', 'Kuromachikku', 'Ladyintricate', 'Le9acyMuse']","Hi there! Not much to tell. Just a happy human skipping around with a smile, wandering through life, enjoying a croissant or two, and drinking all your coffee! I bet you wondered where it went, didn't you?",Here, https://www.personalitycafe.com/members/melchiz.html,Female,Type 9,Male,[]
,['Frenetic Tranquility'],,, https://www.personalitycafe.com/members/melebula.html,,,Female,[]
McKenna,"['BarracudaChu', 'FakeLefty']",,, https://www.personalitycafe.com/members/mckenna.html,Male,Type 4,Female,[]
mental blockstack,"['Aha', 'calmlyspazzing', 'Croaker', 'Delilah', 'effenelle', 'Eleven', 'Grunfur', 'musician gal', 'niffer', 'shallnotbenamed', 'SharkT00th', 'Substrata', 'vikingbitch']","5w4 9w8, SX/SP, Taurus, ! shaped birthmark above my bellybutton, what else do you need to know",Your perception, https://www.personalitycafe.com/members/mental-blockstack.html,,,,[]
Menvra,['Silverdawn'],,, https://www.personalitycafe.com/members/menvra.html,Male,Type 5w6,Female,[]
,"['Felix5', 'Fluctuate', 'Kynx', 'SgtPepper']",,"Greater London (North), UK", https://www.personalitycafe.com/members/meltwater.html,,,Male,[]
meltyvalve,,,,,,Unknown,Male,[]
,"['dann', 'silverlark']",,, https://www.personalitycafe.com/members/luis-fuego.html,Female,Type 5,,[]
meghanenfj,['daisy7'],,,,,Type 2,Female,[]
Megs1090,"['Izabella', 'kiwigrl', 'mistercoffee', 'Nobleheart', 'Oreocat']",,, https://www.personalitycafe.com/members/megs1090.html,,,Female,[]
Megrenade,,,, https://www.personalitycafe.com/members/megrenade.html,,Unknown,Female,[]
,"['Goosefish', 'Halcy0n', 'HannibalLecter', 'OmarFW', 'Raichan', 'Roze']",Not sure of type but INFP/ISFP seems 50/50,Texas, https://www.personalitycafe.com/members/megumikai.html,Male,Type 4,Female,[]
Lauren Wolfe,['android654'],,, https://www.personalitycafe.com/members/lauren-wolfe.html,Male,,Female,[]
mehua,['Llyralen'],,, https://www.personalitycafe.com/members/mehua.html,,,Female,[]
Mereallysmart,"['Mike75', 'Pearlbob', 'Pixie Wings', 'Prion Indigo', 'SilverMoon', 'sparklepop', 'thistled bones', 'Vexilla Regis', 'angelcat', 'avaray', 'Crimson Ash', 'dizgulava', 'ethylester', 'foolsxluxury', 'gestalt', 'IAmOrangeToday', 'kemmicals', 'manar']","My name is Rachel and I love writing, video editing, singing, acting, playing guitar,  giving advice, laughing, making people laugh, hanging out with friends, eating, and sleeping. LOL :) I am kind of obsessed with Myer's Briggs typology to be honest. :) I LOVE musical theater- I have been in 18 musicals! I have been published TWICE!! Once when I was nine and another time when I was twelve.",Sorry stalkers :(, https://www.personalitycafe.com/members/mereallysmart.html,,Type 4w3,Female,"['book-club', 'christian-mbtiers']"
MereHuman,"['Apprentice of Tezuka', 'Giratina', 'Indiana Dan', 'Jerzy Urban', 'L', 'NobodyKnows76', 'Obscure', 'owlet', 'Perspective', 'Pogona Vitticeps', 'princeharvey55', 'purposive', 'ryuzakichichi', 'Selecao', 'Sparky', 'Stoneburg', 'Theyna', 'Watayo.Illusion']",,,,,Unknown,,[]
MereMortal,,,,,Male,Unknown,Female,[]
Meret,['Dissonance'],,European Union, https://www.personalitycafe.com/members/meret.html,,Type 7w6,Female,['classical-music']
Mayaa,"['Asmodaeus', 'Lakigigar', 'leictreon', 'Pangea']",,"immer im zimmer, immer im zimmer",,,Unknown,Female,"['infp-haven', 'empathy-movement']"
MaybeImADreamer,,,Georgia, https://www.personalitycafe.com/members/maybeimadreamer.html,Male,Type 4,Female,[]
,"['DarkBarlow', 'Dr. Buttercup', 'dulcinea', 'Glenda Gnome Starr', 'god of whiNE and TIts', 'I May Be Testing', 'Jaune', 'Keine Kageshirasawa', 'Librarylady', 'Linkzelda', 'Asd456', 'Ashes4719', 'atamagasuita', 'awildjazmin', 'Because_why_not', 'Boi Bussy', 'Boricua', 'BranchMonkey', 'Chesire Tower', 'Dark NiTe', 'Parrot', 'ReasonforTreason', 'SgtPepper', 'Shinsei', 'Sumiko', 'The Impossible Girl', 'vinniebob', 'Wellsy', 'Lunatics', 'MadinCheshire', 'Memory of Talon', 'mkzr', 'Moonious', 'Mr Castelo', 'nam', 'Namewhomustbechanged', 'narcissistic', 'OP']","In the third millennium, DevlopersCafe changed. Sections, spam, all were in upheaval. The Forum transformed into a poisonous, scorched spite-fest, known as ""PerC"". Millions of users crowded into a few subforums, where roving bands of trolls created violence the justice system could not control. Justice, as we know it, collapsed. From the decay rose a new order, a society ruled by a new, elite force. A force with the power to dispense both justice and punishment. They were the police, jury and executioner all in one. They were the Mods.","By the Great Lakes, US of A", https://www.personalitycafe.com/members/maybe.html,Female,Type 9w8,Male,"['grumpy-bastard-group', 'hydra', 'make-perc-safe', 'scrabblewatch', 'troll-station']"
Mcblahflooper94,,I like to think about stuff.,,,,Type 5w4,Male,[]
McCartneyII,"['Grandmaster Yoda', 'MagentaRose218', 'piscesfish']",,, https://www.personalitycafe.com/members/mccartneyii.html,,Type 5w6,Female,[]
MHeathK,['Westy365'],,,,,,,[]
Malovane,,,Northern Virginia, https://www.personalitycafe.com/members/malovane.html,Female,Type 9w8,Male,"['metal', 'existentialism', 'anarchists-libertarians', 'infj', 'surrealism', 'spirituality']"
Merinliza,['Dora'],,, https://www.personalitycafe.com/members/merinliza.html,,Type 4w5,Female,[]
malphigus,,"What would you like to know... other than cheese?
maltese101.deviantart.com
malphigus.tumblr.com
fanfiction.net/u/4124476/maltese",,,,,Male,[]
,"['dragonhead66', 'MrShatter', 'nofilter']",Enneagram Tritype 837 Sp/So,"USA, Deep South", https://www.personalitycafe.com/members/mean-aunt-seena.html,,,Female,[]
majorpsych,,,, https://www.personalitycafe.com/members/majorpsych.html,Female,,Male,[]
,"['vladioto', 'Asmodaeus', 'Because_why_not', 'ColdNobility', 'Endologic', 'Keine Kageshirasawa', 'leictreon', 'Lone Adventurer', 'narcissistic', 'Scoobyscoob', 'Tsu']","I am an INTJ. 
My functions are (in order): 
Ni>Te>Ti>Fi>Ne>Si>Fe=Se 
My enneagram is apparently 8w7, but if you think that I'm something else, please PM me. (Like please lmao) 
If you think that I'm not an INTJ but rather an ENTJ, INTP or even a sensor, please PM me.",, https://www.personalitycafe.com/members/meaningless.html,Bisexual,,,[]
meathead420,"['FlightlessBird', 'HBIC']",,, https://www.personalitycafe.com/members/meathead420.html,Female,,,[]
,"['ImminentThunder', 'Kenneth Udut']",I thought I did this once....Maybe I missed it. I swear I wrote about how I have 6 kids and as an I was not aware of what noise I was getting into.,One would think on earth., https://www.personalitycafe.com/members/micheleinharmony.html,,Type 2,Female,[]
Marac,"['armika_armika', 'BimboBarbie', 'friction', 'Jewl', 'Paradox1987', 'Stephen', 'Stephen1']",,, https://www.personalitycafe.com/members/marac.html,Female,Type 7,Male,[]
,"['Ranoosha', 'yambs4']",,Bloomfield, https://www.personalitycafe.com/members/maramski.html,,,Female,[]
Mac The Knife,,,NC, https://www.personalitycafe.com/members/mac-the-knife.html,Female,Type 5w4,Male,"['artists', 'art-club', 'musicians', 'atheists-personalitycafe', 'philosophy']"
,,,Dirty Jersey, https://www.personalitycafe.com/members/mirlong.html,Female,Type 2,Male,[]
,"['Amauriel', 'Anni415', 'confused girl28', 'Lovable', 'southernsunflower', 'Wings of Nike']",Hi :),Denmark, https://www.personalitycafe.com/members/mirkwood.html,Female,Unknown,Male,[]
mirrorblue,['chuckpalstoboot'],,, https://www.personalitycafe.com/members/mirrorblue.html,,,Female,[]
mirrorghost,"['DreamerofDreams', 'Kendall_Rene', 'mystery_box', 'SisOfNight', 'Violator Rose']",,california, https://www.personalitycafe.com/members/mirrorghost.html,,Type 4w5,Female,"['i-am-california', 'vegetarians-beyond']"
MayBjo,"['ClarityOfVision', 'cookie_thief', 'DAPHNE XO', 'Einstein', 'freezeframe']","Born and raised in Norway, currently living in The Netherlands as I study there. In Norway I can live my passion which is Hiking in the mountains, so you can imagine that I am longing to go back and leave flat Netherlands when I am done studying ;)",Netherlands, https://www.personalitycafe.com/members/maybjo.html,Male,Type 2,Female,[]
missjayjay,,Ask me,, https://www.personalitycafe.com/members/missjayjay.html,Male,Type 5w6,Female,"['h-u-m-n', 'yourself', 'find-friend', 'world-domination', 'infj', 'infj-enfp', 'hug-cuddle-snuggle-group', 'reading-group']"
,['Spinkltini'],,"Pensacola, Fl", https://www.personalitycafe.com/members/missjoelle.html,Male,Type 7w8,Female,[]
minotaur,,,, https://www.personalitycafe.com/members/minotaur.html,,Type 4w5,Female,[]
Laze,"['DarkBarlow', 'ficsci']",,,,Female,,Male,[]
laZerus,,,, https://www.personalitycafe.com/members/lazerus.html,,Type 7w6,,[]
,"['Cynically Smiling', 'Excelsio', 'Mandi', 'SophiaMarie']",,,,,,Female,[]
